,epmc_id,source,datalink_ID,datalink_IDScheme,datalink_IDURL,datalink_Category
1104,18468712,MED,ACB12005,ENA,http://www.ebi.ac.uk/ena/data/view/ACB12005,Nucleotide Sequences
1105,18468712,MED,ACB12006,ENA,http://www.ebi.ac.uk/ena/data/view/ACB12006,Nucleotide Sequences
1106,18468712,MED,ACB12007,ENA,http://www.ebi.ac.uk/ena/data/view/ACB12007,Nucleotide Sequences
1107,18468712,MED,ACB12000,ENA,http://www.ebi.ac.uk/ena/data/view/ACB12000,Nucleotide Sequences
1108,18468712,MED,ACB11999,ENA,http://www.ebi.ac.uk/ena/data/view/ACB11999,Nucleotide Sequences
1109,18468712,MED,ACB12004,ENA,http://www.ebi.ac.uk/ena/data/view/ACB12004,Nucleotide Sequences
1118,19443904,MED,AAC50618,ENA,http://identifiers.org/ebi/ena.embl:AAC50618,Nucleotide Sequences
1119,19443904,MED,BAA19103,ENA,http://identifiers.org/ebi/ena.embl:BAA19103,Nucleotide Sequences
1120,19443904,MED,CAG28583,ENA,http://identifiers.org/ebi/ena.embl:CAG28583,Nucleotide Sequences
1123,17329332,MED,AF009606,ENA,http://identifiers.org/ebi/ena.embl:AF009606,Nucleotide Sequences
1124,17329332,MED,Y11604,ENA,http://identifiers.org/ebi/ena.embl:Y11604,Nucleotide Sequences
1125,17329332,MED,D14853,ENA,http://identifiers.org/ebi/ena.embl:D14853,Nucleotide Sequences
1126,17329332,MED,D90208,ENA,http://identifiers.org/ebi/ena.embl:D90208,Nucleotide Sequences
1127,17329332,MED,EF560218,ENA,http://identifiers.org/ebi/ena.embl:EF560218,Nucleotide Sequences
1128,17329332,MED,EF560558,ENA,http://identifiers.org/ebi/ena.embl:EF560558,Nucleotide Sequences
1129,17329332,MED,ABQ59743,ENA,http://www.ebi.ac.uk/ena/data/view/ABQ59743,Nucleotide Sequences
1130,17329332,MED,ABQ59745,ENA,http://www.ebi.ac.uk/ena/data/view/ABQ59745,Nucleotide Sequences
1131,17329332,MED,ABQ59746,ENA,http://www.ebi.ac.uk/ena/data/view/ABQ59746,Nucleotide Sequences
1132,17329332,MED,ABQ59747,ENA,http://www.ebi.ac.uk/ena/data/view/ABQ59747,Nucleotide Sequences
1133,17329332,MED,ABQ59740,ENA,http://www.ebi.ac.uk/ena/data/view/ABQ59740,Nucleotide Sequences
1134,17329332,MED,ABQ59744,ENA,http://www.ebi.ac.uk/ena/data/view/ABQ59744,Nucleotide Sequences
1135,17329332,MED,ABQ59739,ENA,http://www.ebi.ac.uk/ena/data/view/ABQ59739,Nucleotide Sequences
1136,17329332,MED,ABQ59741,ENA,http://www.ebi.ac.uk/ena/data/view/ABQ59741,Nucleotide Sequences
1137,17329332,MED,ABQ59742,ENA,http://www.ebi.ac.uk/ena/data/view/ABQ59742,Nucleotide Sequences
1138,17329332,MED,ABQ59738,ENA,http://www.ebi.ac.uk/ena/data/view/ABQ59738,Nucleotide Sequences
1146,15887978,MED,AY278488,ENA,http://identifiers.org/ebi/ena.embl:AY278488,Nucleotide Sequences
1147,18176959,MED,AC006154,ENA,http://identifiers.org/ebi/ena.embl:AC006154,Nucleotide Sequences
1148,18176959,MED,AC005068,ENA,http://identifiers.org/ebi/ena.embl:AC005068,Nucleotide Sequences
1149,18176959,MED,AC008177,ENA,http://identifiers.org/ebi/ena.embl:AC008177,Nucleotide Sequences
1151,15259069,MED,AB105172,ENA,http://identifiers.org/ebi/ena.embl:AB105172,Nucleotide Sequences
1152,15259069,MED,AB105174,ENA,http://identifiers.org/ebi/ena.embl:AB105174,Nucleotide Sequences
1153,15259069,MED,BAC82375,ENA,http://www.ebi.ac.uk/ena/data/view/BAC82375,Nucleotide Sequences
1154,15259069,MED,AB105172,ENA,http://www.ebi.ac.uk/ena/data/view/AB105172,Nucleotide Sequences
1155,15259069,MED,AB105173,ENA,http://www.ebi.ac.uk/ena/data/view/AB105173,Nucleotide Sequences
1156,15259069,MED,BAC82376,ENA,http://www.ebi.ac.uk/ena/data/view/BAC82376,Nucleotide Sequences
1157,15259069,MED,AB105174,ENA,http://www.ebi.ac.uk/ena/data/view/AB105174,Nucleotide Sequences
1158,15259069,MED,BAC82377,ENA,http://www.ebi.ac.uk/ena/data/view/BAC82377,Nucleotide Sequences
